race,gest,year,sex,births
NHB,31,2014,M,2061
NHB,32,2014,M,2745
NHB,33,2014,M,3978
NHB,34,2014,M,6432
NHB,35,2014,M,9314
NHB,36,2014,M,15804
NHB,37,2014,M,30947
NHB,38,2014,M,51562
NHB,39,2014,M,82000
NHB,40,2014,M,48737
NHB,41,2014,M,20062
NHB,42,2014,M,6939
NHB,43,2014,M,4099
NHB,44,2014,M,2214
NHB,45,2014,M,1207
NHB,46,2014,M,591
NHB,47,2014,M,438
NHB,99,2014,M,275
NHW,17,2014,M,83
NHW,18,2014,M,81
NHW,19,2014,M,147
NHW,20,2014,M,231
NHW,21,2014,M,346
NHW,22,2014,M,426
NHW,23,2014,M,579
NHW,24,2014,M,749
NHW,25,2014,M,978
NHW,26,2014,M,1075
NHW,27,2014,M,1325
NHW,28,2014,M,1830
NHW,29,2014,M,2288
NHW,30,2014,M,3100
NHW,31,2014,M,4166
NHW,32,2014,M,6104
NHW,33,2014,M,8995
NHW,34,2014,M,15879
NHW,35,2014,M,24313
NHW,36,2014,M,43612
NHW,37,2014,M,92312
NHW,38,2014,M,169275
NHW,39,2014,M,339150
NHW,40,2014,M,221614
NHW,41,2014,M,101844
NHW,42,2014,M,30810
NHW,43,2014,M,15150
NHW,44,2014,M,8005
NHW,45,2014,M,4251
NHW,46,2014,M,2316
